j;t_z;q_j;t_och;t_nob;t_obsl;t_kob
1;0.98892;0;0;0.98892;0.50663;1.49555
2;1.00461;1;0.49094;1.49555;0.67739;2.17294
3;2.17018;1;0.00276;2.17294;0.77358;2.94652
4;2.43314;1;0.51338;2.94652;0.46601;3.41253
5;3.06494;1;0.34759;3.41253;1.9409;5.35343
6;4.09545;1;1.25798;5.35343;0.74123;6.09466
7;5.27119;2;0.82347;6.09466;0.49853;6.59319
8;5.45108;2;1.14211;6.59319;0.87854;7.47173
9;6.15273;2;1.319;7.47173;1.0567;8.52843
10;6.96089;2;1.56754;8.52843;0.24827;8.7767
11;7.00884;3;1.76786;8.7767;0.27116;9.04786
12;7.8241;3;1.22376;9.04786;0.28483;9.33269
13;8.9424;2;0.39029;9.33269;0.15419;9.48688
14;9.22408;2;0.2628;9.48688;1.68067;11.16755
15;9.70649;1;1.46106;11.16755;0.60048;11.76803
16;10.17297;2;1.59506;11.76803;0.89969;12.66772
17;10.97;3;1.69772;12.66772;0.20413;12.87185
18;11.97718;2;0.89467;12.87185;0.20122;13.07307
19;12.25385;3;0.81922;13.07307;0.12671;13.19978
20;13.52575;0;0;13.52575;0.28636;13.81211
21;13.55681;1;0.2553;13.81211;0.40855;14.22066
22;13.56548;2;0.65518;14.22066;0.09008;14.31074
23;14.94803;0;0;14.94803;2.05208;17.00011
24;15.55814;1;1.44197;17.00011;0.96388;17.96399
25;18.68227;0;0;18.68227;0.67121;19.35348
26;19.58456;0;0;19.58456;0.19714;19.7817
27;19.64921;1;0.13249;19.7817;0.65568;20.43738
28;21.80095;0;0;21.80095;0.46856;22.26951
29;22.18182;1;0.08769;22.26951;0.84719;23.1167
30;23.04017;1;0.07653;23.1167;1.7495;24.8662
31;23.4614;1;1.4048;24.8662;1.20238;26.06858
32;25.06636;1;1.00222;26.06858;1.33319;27.40177
33;26.0145;2;1.38727;27.40177;0.99909;28.40086
34;27.13626;2;1.2646;28.40086;0.81128;29.21214
35;27.64091;2;1.57123;29.21214;0.8571;30.06924
36;27.89707;3;2.17217;30.06924;0.7388;30.80804
37;29.93192;2;0.87612;30.80804;0.08321;30.89125
38;30.29065;2;0.6006;30.89125;0.65976;31.55101
39;30.64441;3;0.9066;31.55101;0.76458;32.31559
40;30.91262;2;1.40297;32.31559;0.16414;32.47973
41;31.24924;3;1.23049;32.47973;0.1993;32.67903
42;32.13608;3;0.54295;32.67903;0.58985;33.26888
43;32.91218;1;0.3567;33.26888;0.33612;33.605
44;33.1279;2;0.4771;33.605;0.5541;34.1591
45;33.34343;2;0.81567;34.1591;0.33862;34.49772
46;33.85737;2;0.64035;34.49772;0.20772;34.70544
47;33.98283;3;0.72261;34.70544;1.13019;35.83563
48;34.57827;2;1.25736;35.83563;0.17822;36.01385
49;38.04998;0;0;38.04998;0.94753;38.99751
50;38.96313;1;0.03438;38.99751;-0.03438;38.96313
51;39.45409;1;-1;-1;-1;-1


