l;t_sob;Type;C_l;t_ost;t_ozh;j_l
1;0.98892;1;1;0.50663;0.01569;1
2;1.00461;1;2;0.49094;1.16557;2
3;1.49555;2;1;0.67739;0.67463;1
4;2.17018;1;2;0.00276;0.26296;3
5;2.17294;2;1;0.77358;0.2602;2
6;2.43314;1;2;0.51338;0.6318;4
7;2.94652;2;1;0.46601;0.11842;3
8;3.06494;1;2;0.34759;1.03051;5
9;3.41253;2;1;1.9409;0.68292;4
10;4.09545;1;2;1.25798;1.17574;6
11;5.27119;1;3;0.08224;0.17989;7
12;5.35343;2;2;0.74123;0.09765;5
13;5.45108;1;3;0.64358;0.70165;8
14;6.09466;2;2;0.49853;0.05807;6
15;6.15273;1;3;0.44046;0.80816;9
16;6.59319;2;2;0.87854;0.3677;7
17;6.96089;1;3;0.51084;0.04795;10
18;7.00884;1;4;0.46289;0.81526;11
19;7.47173;2;3;1.0567;0.35237;8
20;7.8241;1;4;0.70433;1.1183;12
21;8.52843;2;3;0.24827;0.41397;9
22;8.7767;2;2;0.27116;0.1657;10
23;8.9424;1;3;0.10546;0.28168;13
24;9.04786;2;2;0.28483;0.17622;11
25;9.22408;1;3;0.10861;0.48241;14
26;9.33269;2;2;0.15419;0.3738;12
27;9.48688;2;1;1.68067;0.21961;13
28;9.70649;1;2;1.46106;0.46648;15
29;10.17297;1;3;0.99458;0.79703;16
30;10.97;1;4;0.19755;1.00718;17
31;11.16755;2;3;0.60048;0.80963;14
32;11.76803;2;2;0.89969;0.20915;15
33;11.97718;1;3;0.69054;0.27667;18
34;12.25385;1;4;0.41387;1.2719;19
35;12.66772;2;3;0.20413;0.85803;16
36;12.87185;2;2;0.20122;0.6539;17
37;13.07307;2;1;0.12671;0.45268;18
38;13.19978;2;0;-1;0.32597;19
39;13.52575;1;1;0.28636;0.03106;20
40;13.55681;1;2;0.2553;0.00867;21
41;13.56548;1;3;0.24663;1.38255;22
42;13.81211;2;2;0.40855;1.13592;20
43;14.22066;2;1;0.09008;0.72737;21
44;14.31074;2;0;-1;0.63729;22
45;14.94803;1;1;2.05208;0.61011;23
46;15.55814;1;2;1.44197;3.12413;24
47;17.00011;2;1;0.96388;1.68216;23
48;17.96399;2;0;-1;0.71828;24
49;18.68227;1;1;0.67121;0.90229;25
50;19.35348;2;0;-1;0.23108;25
51;19.58456;1;1;0.19714;0.06465;26
52;19.64921;1;2;0.13249;2.15174;27
53;19.7817;2;1;0.65568;2.01925;26
54;20.43738;2;0;-1;1.36357;27
55;21.80095;1;1;0.46856;0.38087;28
56;22.18182;1;2;0.08769;0.85835;29
57;22.26951;2;1;0.84719;0.77066;28
58;23.04017;1;2;0.07653;0.42123;30
59;23.1167;2;1;1.7495;0.3447;29
60;23.4614;1;2;1.4048;1.60496;31
61;24.8662;2;1;1.20238;0.20016;30
62;25.06636;1;2;1.00222;0.94814;32
63;26.0145;1;3;0.05408;1.12176;33
64;26.06858;2;2;1.33319;1.06768;31
65;27.13626;1;3;0.26551;0.50465;34
66;27.40177;2;2;0.99909;0.23914;32
67;27.64091;1;3;0.75995;0.25616;35
68;27.89707;1;4;0.50379;2.03485;36
69;28.40086;2;3;0.81128;1.53106;33
70;29.21214;2;2;0.8571;0.71978;34
71;29.93192;1;3;0.13732;0.35873;37
72;30.06924;2;2;0.7388;0.22141;35
73;30.29065;1;3;0.51739;0.35376;38
74;30.64441;1;4;0.16363;0.26821;39
75;30.80804;2;3;0.08321;0.10458;36
76;30.89125;2;2;0.65976;0.02137;37
77;30.91262;1;3;0.63839;0.33662;40
78;31.24924;1;4;0.30177;0.88684;41
79;31.55101;2;3;0.76458;0.58507;38
80;32.13608;1;4;0.17951;0.7761;42
81;32.31559;2;3;0.16414;0.59659;39
82;32.47973;2;2;0.1993;0.43245;40
83;32.67903;2;1;0.58985;0.23315;41
84;32.91218;1;2;0.3567;0.21572;43
85;33.1279;1;3;0.14098;0.21553;44
86;33.26888;2;2;0.33612;0.07455;42
87;33.34343;1;3;0.26157;0.51394;45
88;33.605;2;2;0.5541;0.25237;43
89;33.85737;1;3;0.30173;0.12546;46
90;33.98283;1;4;0.17627;0.59544;47
91;34.1591;2;3;0.33862;0.41917;44
92;34.49772;2;2;0.20772;0.08055;45
93;34.57827;1;3;0.12717;3.47171;48
94;34.70544;2;2;1.13019;3.34454;46
95;35.83563;2;1;0.17822;2.21435;47
96;36.01385;2;0;-1;2.03613;48
97;38.04998;1;1;0.94753;0.91315;49
98;38.96313;1;2;0.03438;0.49096;50
99;38.99751;2;1;2.52519;0.45658;49
100;39.45409;1;2;2.06861;0.18523;51
