l;t_sob;Type;C_l;t_osmin;t_ozh;j_l;k_l
1;0.51505;1;1;2.16997;2.01969;1;1
2;2.53474;1;2;0.15028;0.18327;2;2
3;2.68502;2;1;6.31112;0.03299;1;1
4;2.71801;1;2;0.58301;0.36869;3;1
5;3.0867;1;3;0.21432;0.67065;4;3
6;3.30102;2;2;2.63973;0.45633;3;1
7;3.75735;1;3;2.1834;0.86732;5;1
8;4.62467;1;4;1.31608;0.89269;6;4
9;5.51736;1;5;0.42339;0.8841;7;5
10;5.94075;2;4;2.84209;0.46071;4;3
11;6.40146;1;5;1.0937;0.90844;8;3
12;7.3099;1;6;0.03471;0.13201;9;6
13;7.34461;2;5;0.15055;0.0973;9;6
14;7.44191;1;6;0.05325;0.36103;10;6
15;7.49516;2;5;1.23211;0.30778;8;3
16;7.80294;1;6;0.92433;0.71601;11;3
17;8.51895;1;7;0.20832;1.1406;12;-1
18;8.72727;2;6;0.05557;0.93228;10;6
19;8.78284;2;5;0.2133;0.87671;6;4
20;8.99614;2;4;0.09459;0.66341;2;2
21;9.09073;2;3;3.49981;0.56882;5;1
22;9.65955;1;4;0.33144;1.0836;13;1
23;9.99099;2;3;2.59955;0.75216;13;1
24;10.74315;1;4;1.84739;1.19365;14;1
25;11.9368;1;5;0.65374;0.18697;15;2
26;12.12377;1;6;0.46677;0.27409;16;4
27;12.39786;1;7;0.19268;0.10592;17;6
28;12.50378;1;8;0.08676;0.2337;18;-1
29;12.59054;2;7;0.13995;0.14694;11;3
30;12.73049;2;6;0.16294;0.00699;14;1
31;12.73748;1;7;0.15595;0.29255;19;3
32;12.89343;2;6;1.00487;0.1366;14;1
33;13.03003;1;7;0.86827;0.92548;20;1
34;13.8983;2;6;0.20764;0.05721;12;4
35;13.95551;1;7;0.15043;0.12208;21;4
36;14.07759;1;8;0.02835;2.12163;22;-1
37;14.10594;2;7;3.29817;2.09328;7;5
38;16.19922;1;8;1.20489;2.29762;23;5
39;17.40411;2;7;0.20936;1.09273;15;2
40;17.61347;2;6;0.08997;0.88337;23;5
41;17.70344;2;5;1.32207;0.7934;22;3
42;18.49684;1;6;0.52867;2.43896;24;2
43;19.02551;2;5;0.0082;1.91029;20;1
44;19.03371;2;4;0.12816;1.90209;18;6
45;19.16187;2;3;1.30966;1.77393;24;2
46;20.47153;2;2;9999999;0.46427;21;4
47;20.9358;1;3;7.01508;0.96377;25;1
48;21.89957;1;4;0.22643;0.89345;26;2
49;22.126;2;3;5.82488;0.66702;26;2
50;22.79302;1;4;3.25533;0.03045;27;2
51;22.82347;1;5;1.06988;1.86238;28;3
52;23.89335;2;4;2.155;0.7925;28;3
53;24.68585;1;5;1.3625;0.76852;29;3
54;25.45437;1;6;0.59398;2.35404;30;4
55;26.04835;2;5;1.90253;1.76006;27;2
56;27.80841;1;6;0.14247;0.44775;31;2
57;27.95088;2;5;0.28838;0.30528;25;1
58;28.23926;2;4;2.92459;0.0169;31;2
59;28.25616;1;5;2.42331;1.17109;32;1
60;29.42725;1;6;1.25222;2.60533;33;2
61;30.67947;2;5;0.48438;1.35311;32;1
62;31.16385;2;4;0.37613;0.86873;30;4
63;31.53998;2;3;0.43527;0.4926;29;3
64;31.97525;2;2;9999999;0.05733;33;2
65;32.03258;1;3;2.63538;0.4521;34;1
66;32.48468;1;4;2.18328;0.61496;35;2
67;33.09964;1;5;1.56832;0.79783;36;3
68;33.89747;1;6;0.77049;0.3983;37;4
69;34.29577;1;7;0.08825;3.11383;38;5
70;34.38402;2;6;0.28394;3.02558;38;5
71;34.66796;2;5;0.50813;2.74164;34;1
72;35.17609;2;4;2.69702;2.23351;36;3
73;37.4096;1;5;0.46351;0.62368;39;1
74;37.87311;2;4;0.0109;0.16017;35;2
75;37.88401;2;3;1.35844;0.14927;37;4
76;38.03328;1;4;0.77511;2.75571;40;2
77;38.80839;2;3;0.43406;1.9806;40;2
78;39.24245;2;2;9999999;1.54654;39;1
79;40.78899;1;3;6.16869;0.12603;41;1
80;40.91502;1;4;1.26224;1.41287;42;2
81;42.17726;2;3;4.78042;0.15063;42;2
82;42.32789;1;4;1.55046;1.76931;43;2
83;43.87835;2;3;3.07933;0.21885;43;2
84;44.0972;1;4;2.86048;0.55607;44;2
85;44.65327;1;5;0.48324;0.70809;45;3
86;45.13651;2;4;1.82117;0.22485;45;3
87;45.36136;1;5;1.33532;2.10171;46;3
88;46.69668;2;4;0.261;0.76639;46;3
89;46.95768;2;3;5.27834;0.50539;41;1
90;47.46307;1;4;4.77295;2.46702;47;1
91;49.93009;1;5;2.30593;0.28418;48;3
92;50.21427;1;6;1.02824;2.47504;49;4
93;51.24251;2;5;0.99351;1.4468;49;4
94;52.23602;2;4;0.90826;0.45329;44;2
95;52.68931;1;5;0.45497;0.09644;50;2
96;52.78575;1;6;0.35853;1.14405;51;4
97;53.14428;2;5;3.6795;0.78552;48;3
98;53.9298;1;6;2.79883;1.28056;52;3
99;55.21036;1;7;1.51827;2.09126;53;5
100;56.72863;2;6;0.09515;0.57299;52;3
