j;t_z;q_j;t_och;t_nob;t_obsl;t_kob;k_j
1;0.91704;0;0.0;0.91704;5.16162;6.07866;1
2;1.02944;0;0.0;1.02944;6.84699;7.87643;2
3;1.87271;0;0.0;1.87271;3.88567;5.75838;3
4;2.18894;0;0.0;2.18894;1.87819;4.06713;4
5;2.86728;0;0.0;2.86728;2.53747;5.40475;5
6;4.28926;0;0.0;4.28926;3.73166;8.02092;4
7;5.16609;0;0.0;5.16609;14.34934;19.51543;6
8;5.76055;0;0.0;5.76055;0.06184;5.82239;3
9;6.15536;0;0.0;6.15536;0.736;6.89136;1
10;6.57133;0;0.0;6.57133;3.11734;9.68867;3
11;6.63667;0;0.0;6.63667;7.61577;14.25244;5
12;7.00744;0;0.0;7.00744;1.12761;8.13505;1
13;9.24809;0;0.0;9.24809;0.6413;9.88939;1
14;9.91448;0;0.0;9.91448;2.19266;12.10714;1
15;11.16352;0;0.0;11.16352;3.7025;14.86602;2
16;11.23645;0;0.0;11.23645;1.32426;12.56071;3
17;13.84132;0;0.0;13.84132;2.37363;16.21495;1
18;14.55118;0;0.0;14.55118;3.52449;18.07567;3
19;14.57094;0;0.0;14.57094;11.90459;26.47553;4
20;17.59925;0;0.0;17.59925;1.26276;18.86201;1
21;17.68772;0;0.0;17.68772;-1;-1;2
22;18.77202;0;0.0;18.77202;6.03874;24.81076;3
23;21.60257;0;0.0;21.60257;2.39906;24.00163;1
24;22.29892;0;0.0;22.29892;0.02341;22.32233;5
25;23.10809;0;0.0;23.10809;2.21721;25.3253;5
26;26.38053;0;0.0;26.38053;5.67402;32.05455;1
27;26.57087;0;0.0;26.57087;14.14755;40.71842;3
28;27.22102;0;0.0;27.22102;6.88572;34.10674;4
29;28.46721;0;0.0;28.46721;3.90165;32.36886;5
30;28.67162;0;0.0;28.67162;1.13707;29.80869;6
31;30.39087;0;0.0;30.39087;-1;-1;6
32;31.066;1;0.98855;32.05455;3.41387;35.46842;2
33;31.93441;2;0.43445;32.36886;0.89277;33.26163;6
34;33.14038;1;0.0;33.14038;3.45346;36.59384;1
35;33.53377;1;0.0;33.53377;2.15282;35.68659;5
36;33.92365;2;0.0;33.92365;-1;-1;6
37;34.20366;2;0.0;34.20366;3.98189;38.18555;4
38;36.57242;1;0.0;36.57242;3.33887;39.91129;2
39;38.68294;0;0.0;38.68294;0.91234;39.59528;1
40;38.79334;1;0.0;38.79334;-1;-1;4
41;40.30004;0;0.0;40.30004;1.18085;41.48089;1
42;40.86285;0;0.0;40.86285;-1;-1;2
43;41.01572;1;0.0;41.01572;1.9618;42.97752;3
44;41.01666;2;0.0;41.01666;-1;-1;5
45;41.16849;3;0.3124;41.48089;1.74665;43.22754;2
46;41.27753;4;1.69999;42.97752;1.4994;44.47692;4
47;42.41214;4;0.0;42.41214;-1;-1;1
48;44.15068;3;0.0;44.15068;-1;-1;2
49;44.35129;4;0.0;44.35129;-1;-1;3
50;44.36512;5;0.1118;44.47692;0.72281;45.19973;5
51;45.25564;3;0.0;45.25564;-1;-1;3
52;45.66713;4;0.0;45.66713;-1;-1;4
53;46.55732;5;0.0;46.55732;0.3716;46.92892;5
54;47.38966;5;0.0;47.38966;0.20039;47.59005;5
55;47.53042;6;0.05963;47.59005;-0.05963;47.53042;6
56;47.87393;6;0.0;47.87393;-1;-1;5
