l;t_sob;Type;C_l;t_ost;t_ozh;j_l
1;0.98812;1;1;0.738;1.35642;1
2;1.72612;2;0;-1;0.61842;1
3;2.34454;1;1;0.738;0.69839;2
4;3.04293;1;2;0.03961;0.64898;3
5;3.78093;2;1;0.738;0.60937;2
6;4.3903;1;2;0.12863;1.67548;4
7;5.1283;2;1;0.738;1.54685;3
8;5.8663;2;0;-1;0.80885;4
9;6.67515;1;1;0.738;1.20516;5
10;7.41315;2;0;-1;0.46716;5
11;7.88031;1;1;0.738;0.06309;6
12;7.9434;1;2;0.67491;1.62189;7
13;8.6814;2;1;0.738;0.94698;6
14;9.4194;2;0;-1;0.20898;7
15;9.62838;1;1;0.738;1.93122;8
16;10.36638;2;0;-1;1.19322;8
17;11.5596;1;1;0.738;0.73103;9
18;12.29063;1;2;0.00697;1.39276;10
19;13.02863;2;1;0.738;1.38579;9
20;13.76663;2;0;-1;0.64779;10
21;14.41442;1;1;0.738;0.84801;11
22;15.15242;2;0;-1;0.11001;11
23;15.26243;1;1;0.738;1.9593;12
24;16.00043;2;0;-1;1.2213;12
25;17.22173;1;1;0.738;2.1675;13
26;17.95973;2;0;-1;1.4295;13
27;19.38923;1;1;0.738;2.60724;14
28;20.12723;2;0;-1;1.86924;14
29;21.99647;1;1;0.738;2.37029;15
30;22.73447;2;0;-1;1.63229;15
31;24.36676;1;1;0.738;1.24283;16
32;25.10476;2;0;-1;0.50483;16
33;25.60959;1;1;0.738;2.26732;17
34;26.34759;2;0;-1;1.52932;17
35;27.87691;1;1;0.738;0.9142;18
36;28.61491;2;0;-1;0.1762;18
37;28.79111;1;1;0.738;2.03444;19
38;29.52911;2;0;-1;1.29644;19
39;30.82555;1;1;0.738;0.58773;20
40;31.41328;1;2;0.15027;2.62461;21
41;32.15128;2;1;0.738;2.47434;20
42;32.88928;2;0;-1;1.73634;21
43;34.62562;1;1;0.738;0.15546;22
44;34.78108;1;2;0.58254;1.59009;23
45;35.51908;2;1;0.738;1.00755;22
46;36.25708;2;0;-1;0.26955;23
47;36.52663;1;1;0.738;0.57898;24
48;37.10561;1;2;0.15902;0.75644;25
49;37.84361;2;1;0.738;0.59742;24
50;38.44103;1;2;0.14058;1.55426;26
51;39.17903;2;1;0.738;1.41368;25
52;39.91703;2;0;-1;0.67568;26
53;40.59271;1;1;0.738;0.45565;27
54;41.04836;1;2;0.28235;0.48863;28
55;41.78636;2;1;0.738;0.20628;27
56;41.99264;1;2;0.53172;3.12288;29
57;42.73064;2;1;0.738;2.59116;28
58;43.46864;2;0;-1;1.85316;29
59;45.3218;1;1;0.738;2.33927;30
60;46.0598;2;0;-1;1.60127;30
61;47.66107;1;1;0.738;1.04696;31
62;48.39907;2;0;-1;0.30896;31
63;48.70803;1;1;0.738;0.38242;32
64;49.09045;1;2;0.35558;1.93885;33
65;49.82845;2;1;0.738;1.58327;32
66;50.56645;2;0;-1;0.84527;33
67;51.41172;1;1;0.738;0.39511;34
68;51.80683;1;2;0.34289;0.19327;35
69;52.0001;1;3;0.14962;0.2945;36
70;52.7381;2;2;0.738;0.14488;34
71;52.88298;1;3;0.59312;2.14262;37
72;53.62098;2;2;0.738;1.5495;35
73;54.35898;2;1;0.738;0.8115;36
74;55.09698;2;0;-1;0.0735;37
75;55.17048;1;1;0.738;1.30269;38
76;55.90848;2;0;-1;0.56469;38
77;56.47317;1;1;0.738;0.23414;39
78;56.70731;1;2;0.50386;0.20229;40
79;56.9096;1;3;0.30157;1.21278;41
80;57.6476;2;2;0.738;0.91121;39
81;58.3856;2;1;0.738;0.17321;40
82;58.55881;1;2;0.56479;1.51845;42
83;59.29681;2;1;0.738;0.95366;41
84;60.03481;2;0;-1;0.21566;42
85;60.25047;1;1;0.738;0.85458;43
86;60.98847;2;0;-1;0.11658;43
87;61.10505;1;1;0.738;0.20507;44
88;61.31012;1;2;0.53293;3.81658;45
89;62.04812;2;1;0.738;3.28365;44
90;62.78612;2;0;-1;2.54565;45
91;65.33177;1;1;0.738;2.64157;46
92;66.06977;2;0;-1;1.90357;46
93;67.97334;1;1;0.738;1.06586;47
94;68.71134;2;0;-1;0.32786;47
95;69.0392;1;1;0.738;0.53883;48
96;69.57803;1;2;0.19917;7.49662;49
97;70.31603;2;1;0.738;7.29745;48
98;71.05403;2;0;-1;6.55945;49
99;77.61348;1;1;0.738;0.30444;50
100;77.91792;1;2;0.43356;0.62026;51
